subject,light_dist_cm,illuminance_rel,threshold,clahe,ref_path,test_path,ref_face_brightness,ref_face_contrast,ref_face_sharpness,ref_face_glare_ratio,ref_left_eye_glare,ref_right_eye_glare,ref_eye_glare_mean,ref_retinaface_score,ref_face_width_px,ref_face_height_px,ref_eye_distance_px,test_face_brightness,test_face_contrast,test_face_sharpness,test_face_glare_ratio,test_left_eye_glare,test_right_eye_glare,test_eye_glare_mean,test_retinaface_score,test_face_width_px,test_face_height_px,test_eye_distance_px,cosine_dist,norm_dist,margin,confidence_pct,processing_s,verified,false_reject,detect_failed,skip_reason
s04,135,0.4444,0.4,True,./data\s04\reference.jpeg,./data\s04\135cm.jpeg,124.66333049952341,48.1775525575603,558.6098509970541,0.0,0.0,0.0,0.0,0.9989013671875,342,454,154.1565704345703,126.5485388127854,45.70752666749489,184.50095198158684,0.0013394216133942162,0.003125,0.00125,0.0021875,0.9992559552192688,225,292,100.18071746826172,0.748263,1.8707,-0.348263,12.51,3.124,False,True,False,
s04,120,0.5625,0.4,True,./data\s04\reference.jpeg,./data\s04\120cm.jpeg,124.66333049952341,48.1775525575603,558.6098509970541,0.0,0.0,0.0,0.0,0.9989013671875,342,454,154.1565704345703,129.34967543128488,48.71954097316532,364.16751276115167,0.004584375236796241,0.019375,0.019375,0.019375,0.9994589686393738,249,318,112.76416015625,0.458243,1.1456,-0.058243,74.3,3.553,True,False,False,
s04,105,0.7347,0.4,True,./data\s04\reference.jpeg,./data\s04\105cm.jpeg,124.66333049952341,48.1775525575603,558.6098509970541,0.0,0.0,0.0,0.0,0.9989013671875,342,454,154.1565704345703,139.27208958168902,49.054026181582564,371.20081111709084,0.0024368587213891083,0.015,0.0125,0.01375,0.9996497631072998,280,362,124.90652465820312,0.443318,1.1083,-0.043318,76.08,3.208,True,False,False,
s04,90,1.0,0.4,True,./data\s04\reference.jpeg,./data\s04\90cm.jpeg,124.66333049952341,48.1775525575603,558.6098509970541,0.0,0.0,0.0,0.0,0.9989013671875,342,454,154.1565704345703,155.85408886684561,44.61404815131588,122.67362686572996,0.001210759715252655,0.00875,0.008125,0.0084375,0.9989101886749268,328,418,159.04905700683594,0.386962,0.9674,0.013038,82.56,3.396,True,False,False,
s04,75,1.44,0.4,True,./data\s04\reference.jpeg,./data\s04\75cm.jpeg,124.66333049952341,48.1775525575603,558.6098509970541,0.0,0.0,0.0,0.0,0.9989013671875,342,454,154.1565704345703,147.77465284057797,51.51268145562933,281.8077702982675,0.0028486163863266412,0.00875,0.005625,0.0071875,0.999427318572998,388,513,183.964111328125,0.432486,1.0812,-0.032486,77.36,3.664,True,False,False,
s04,60,2.25,0.4,True,./data\s04\reference.jpeg,./data\s04\60cm.jpeg,124.66333049952341,48.1775525575603,558.6098509970541,0.0,0.0,0.0,0.0,0.9989013671875,342,454,154.1565704345703,154.99533793586107,57.32417491599312,548.6135264749676,0.006218515575449621,0.0225,0.035625,0.029062499999999998,0.9993259906768799,458,599,214.2193603515625,0.832497,2.0812,-0.432497,6.05,3.383,False,True,False,
s04,45,4.0,0.4,True,./data\s04\reference.jpeg,./data\s04\45cm.jpeg,124.66333049952341,48.1775525575603,558.6098509970541,0.0,0.0,0.0,0.0,0.9989013671875,342,454,154.1565704345703,153.3643920501776,51.14598055237566,384.6344095073603,0.0032554180736356873,0.015,0.01125,0.013125,0.9985857009887695,627,802,297.67864990234375,0.500624,1.2516,-0.100624,69.22,3.04,True,False,False,
s04,30,9.0,0.4,True,./data\s04\reference.jpeg,./data\s04\30cm.jpeg,124.66333049952341,48.1775525575603,558.6098509970541,0.0,0.0,0.0,0.0,0.9989013671875,342,454,154.1565704345703,165.03861756453634,46.457444357853895,392.4747562698396,0.0038682873283447496,0.005625,0.033125,0.019375,0.9987700581550598,786,1013,374.30291748046875,0.502406,1.256,-0.102406,69.01,3.057,True,False,False,
s04,15,36.0,0.4,True,./data\s04\reference.jpeg,./data\s04\15cm.jpeg,124.66333049952341,48.1775525575603,558.6098509970541,0.0,0.0,0.0,0.0,0.9989013671875,342,454,154.1565704345703,163.99960396182843,53.36975493996044,565.6777848206134,0.00438444998616579,0.02,0.046875,0.0334375,0.998814582824707,911,1214,436.6385192871094,0.548992,1.3725,-0.148992,63.58,3.642,True,False,False,
s05,135,0.4444,0.4,True,./data\s05\reference.jpeg,./data\s05\135cm.jpeg,127.73649954817382,41.19597558024332,213.27901775843247,0.0,0.0,0.0,0.0,0.9996447563171387,362,483,171.33946228027344,131.6505876068376,37.28819254710057,150.92511952996273,0.0,0.0,0.0,0.0,0.9993146657943726,208,270,93.89618682861328,0.555758,1.3894,-0.155758,62.82,3.235,True,False,False,
