light_dist_cm,n_totaal,n_valid,gem_cosine,median_cosine,std_cosine,min_cosine,max_cosine,gem_marge,gem_conf,gem_proc_s,n_detect_fail,illuminance,FRR_%,IQR,CV_%,range
90,1,1,0.5303,0.5303,,0.5303,0.5303,-0.1303,0.0,5.39,0,1.0,0.0,0.0,,0.0
75,1,1,0.4994,0.4994,,0.4994,0.4994,-0.0994,0.0,2.207,0,1.44,0.0,0.0,,0.0
60,1,1,0.4115,0.4115,,0.4115,0.4115,-0.0115,0.0,1.71,0,2.25,0.0,0.0,,0.0
45,1,1,0.4503,0.4503,,0.4503,0.4503,-0.0503,0.0,2.31,0,4.0,0.0,0.0,,0.0
30,1,1,0.4877,0.4877,,0.4877,0.4877,-0.0877,0.0,1.881,0,9.0,0.0,0.0,,0.0
15,1,1,0.5105,0.5105,,0.5105,0.5105,-0.1105,0.0,1.824,0,36.0,0.0,0.0,,0.0
